,SUMLEV,REGION,DIVISION,STATE,COUNTY,STNAME,CTY,SCHOOL_GRADE,HEALTHCARE_COST,PERCENT_FOOD_INSECURE,CHILD_MORTALITY_RATE,MENTAL_DISTRESS,CHILDREN_UNINSURED,DISCONNECTED_YOUTH,DAILY_POLLUTION,WATER_VIOLATION,HOUSING_PROBLEMS,POPESTIMATE2016,AVG_NETMIG,POP_CHANGE,BIRTHS_PER_CAPITA,MEDIAN_HOUSEHOLD_INCOME,PERCENT_W_HEALTH_INSURANCE,PERCENTAGE_IN_POVERTY,PERCENT_WITH_KIDS,BACHELORS_DEGREE,MEDIAN_MORTAGE_PAYMENTS,MEDIAN_RENT_PAYMENT,2010_FAM_KIDS,2015_FAM_KIDS,CHANGE_IN_FAM_WITH_KIDS,INCOME_AS_PERCENT_OF_STATE,UNEMPLOYMENT,MORTGAGE_INCOME_RATIO,RENT_INCOME_RATIO,HEALTHCARE_INCOME_RATIO,DOCTORS,EXERCISE_ACCESS,FOOD_ENVIRONMENT_INDEX,CIVIC_ASSOCIATIONS,CRIME_RATE,zFAMKIDSCHANGE,zPERCENT_WITH_KIDS,zBIRTHS_PER_CAPITA,zAVG_NETMIG,zPOP_CHANGE,zINCOME_AS_PERCENT_OF_STATE,zPERCENTAGE_IN_POVERTY,zPERCENT_W_HEALTH_INSURANCE,zUNEMPLOYMENT,zBACHELORS_DEGREE,zMORTGAGE_INCOME_RATIO,zRENT_INCOME_RATIO,zHEALTHCARE_INCOME_RATIO,zDOCTORS,zEXERCISE_ACCESS,zFOOD_ENVIRONMENT_INDEX,zCIVIC_ASSOCIATIONS,zCRIME_RATE,zDAILY_POLLUTION,zWATER_VIOLATION,zCHILD_MORTALITY_RATE,zCHILDREN_UNINSURED,zDISCONNECTED_YOUTH,zHOUSING_PROBLEMS,zSCORE_TOTAL
233,50,4,9,6,85,California,"Santa Clara County, California",3.8,7797,11,28,9,4,11,8.8,0,24,1919402,4.693052913,0.074310003,0.012417409,96310,90.9,6.4,35.1,47.9,2943,1705,27.9,28.2,0.010752688,158.5,3.8,32.72511043,56.48680352,12.35245606,269,98,8.5,1052,254,1.559005496,1.129770661,0.157338939,0.077261207,0.389048357,2.371257129,0.963083016,0.604409211,0.679082614,1.813316475,-0.993234748,-0.604971816,3.274604362,0.467322183,1.207496506,1.212669806,1.654465406,0.412099235,0.571672299,-0.628395541,1.439864019,0.696684799,0.499019372,-1.405073083,0.790269193
2952,50,3,5,51,179,Virginia,"Stafford County, Virginia",3.8,9747,8,42,9,5,12,9,1,12,144361,9.757665231,0.111794832,0.012025409,97144,91.6,3.6,42,36.8,2101,1445,34.2,32.1,-0.061403509,144.4,3.9,46.23702999,67.22768166,9.966073248,1,81,9,87,152,0.362535119,2.454912229,-0.021189612,0.712277565,1.040777902,1.748251146,1.608824097,0.75789566,0.61553763,0.691454756,1.396534902,0.541122175,2.012633303,-0.428914402,-0.254636109,1.732182106,-0.648529516,0.879539044,0.446436483,1.588552704,0.540623823,0.324439673,0.273040997,1.170587959,0.780710301
2015,50,3,5,37,183,North Carolina,"Wake County, North Carolina",4,8671,14,42,10,5,9,9.8,0,15,1046791,15.65414726,0.154189486,0.012308092,67309,88.4,7.9,35,49,1533,948,26.1,25.6,-0.019157088,147.5,4.2,43.90671885,71.00105485,7.762685046,2,91,7.6,979,245,1.063051407,1.110565711,0.107552701,1.451596255,1.777872063,1.885224093,0.617150294,0.056243322,0.424902677,1.924491961,0.984387182,0.943755953,0.847433769,-0.425570236,0.6054419,0.277547667,1.48024921,0.453343924,-0.05450678,-0.628395541,0.540623823,0.324439673,0.950976123,0.526672699,0.777106321
1423,50,2,4,27,171,Minnesota,"Wright County, Minnesota",3.8,8288,7,37,8,3,8,10.6,1,11,132550,0.970220709,0.059281399,0.013157299,73557,94.5,4.2,39.1,27.3,1570,899,31.3,29.7,-0.051118211,120.4,3.9,46.85159236,81.82091212,8.87461739,7,81,9.2,130,64,0.533082555,1.897968672,0.494307026,-0.389518717,0.127753707,0.687815431,1.470451009,1.393768092,0.61553763,-0.268697165,1.505228748,2.098277329,1.435447742,-0.408849404,-0.254636109,1.939987026,-0.545909017,1.282820449,-0.555450043,1.588552704,0.861781036,1.068929925,1.176954498,1.385226379,0.763142469
1818,50,1,2,34,27,New Jersey,"Morris County, New Jersey",4,9586,7,24,9,4,7,9.3,0,17,498423,0.310132185,0.011260507,0.009172931,100214,92.5,3,32.7,51,2792,1357,29.9,27.4,-0.08361204,140.7,3.9,35.89326648,73.84966839,10.45422586,274,96,9.2,507,65,-0.005719453,0.668851855,-1.320293606,-0.472282605,-0.707160976,1.584767307,1.747197186,0.955235381,0.61553763,2.126629207,-0.432902581,1.247714235,2.270779006,0.484043014,1.035480904,1.939987026,0.353810243,1.278237706,0.258582759,-0.628395541,1.69678979,0.696684799,1.402932873,0.097395858,0.761839024
2812,50,3,7,48,491,Texas,"Williamson County, Texas",4,9978,15,34,9,9,11,9.8,0,13,528718,26.65771347,0.239914168,0.012518961,73750,87.5,5.4,37.6,39.3,1622,1072,31.5,28.8,-0.085714286,141.1,3.3,45.46855734,68.79664179,7.391431151,18,94,7.2,305,147,-0.040578206,1.609894418,0.203588765,2.831256553,3.268323255,1.602441235,1.193704831,-0.141096398,0.996807535,0.944126314,1.260619897,0.708536399,0.651106647,-0.372063574,0.863465303,-0.138062173,-0.128267451,0.902452761,-0.05450678,-0.628395541,1.054475364,-1.16454083,0.499019372,0.955949539,0.761158816
2962,50,3,5,51,510,Virginia,"Alexandria city, Virginia",3.8,8329,11,63,10,7,10,10,,15,155810,3.325178209,0.106023823,0.018124639,89134,85.7,6.2,21.3,61.4,2522,1555,12.4,14.7,0.185483871,134.6,2.9,35.34258525,57.32090032,10.70152922,7,100,8.7,349,176,4.456340623,-1.520512475,2.756582575,-0.094247047,0.940440321,1.315239896,1.009207379,-0.535775838,1.250987472,3.17774289,-0.530298164,-0.515970403,2.401558394,-0.408849404,1.379512108,1.420474726,-0.023260429,0.769553207,-0.179742596,,-0.808236471,-0.420050579,0.724997748,0.526672699,0.743146375
3017,50,4,9,53,33,Washington,"King County, Washington",3.8,7678,13,36,9,4,11,8.8,0,19,2149970,11.29028338,0.109498159,0.012049005,75302,90.3,7,27.2,47.9,2196,1204,20.7,20.5,-0.009661836,127.7,3.9,34.29052823,62.54318937,9.806965496,168,98,7.9,1924,332,1.220498559,-0.387420409,-0.010443286,0.904441848,1.000846824,1.010364628,0.824709928,0.472849398,0.61553763,1.813316475,-0.716368983,0.041268402,1.928493669,0.12956138,1.207496506,0.589255047,3.735513668,0.054645262,0.571672299,-0.628395541,0.926012478,0.696684799,0.499019372,-0.331880982,0.730264109
3163,50,2,3,55,131,Wisconsin,"Washington County, Wisconsin",3.8,8437,9,25,9,3,7,10.1,0,12,134296,0.582071354,0.01742477,0.00995562,69237,95.3,3.6,30.4,28.9,1605,829,25,23.5,-0.06,127.2,3.5,43.13831776,83.51869723,8.206216799,551,85,8.9,140,78,0.385807645,0.227137999,-0.963833571,-0.438186053,-0.599986088,0.988272217,1.608824097,1.569181177,0.869717567,-0.106987368,0.848484834,2.279437685,1.081982993,1.410377097,0.089395094,1.628279646,-0.522043785,1.218662044,-0.242360503,-0.628395541,1.632558347,1.068929925,1.402932873,1.170587959,0.722050949
655,50,2,3,17,93,Illinois,"Kendall County, Illinois",3.8,9948,7,38,9,3,10,11.5,0,13,124695,3.368490742,0.08070513,0.012871406,84385,94.9,4,42.2,34.8,1965,1305,36.9,35.1,-0.048780488,149,5.2,42.94402036,64.66283525,8.48275453,35,93,9.2,63,104,0.571845911,2.49332213,0.364102783,-0.088816391,0.500237158,1.951501325,1.516575371,1.481474634,-0.210547165,0.48931751,0.814120654,0.267442964,1.228222151,-0.315212746,0.777457502,1.939987026,-0.705806074,1.09951072,-1.119011214,-0.628395541,0.797549593,1.068929925,0.724997748,0.955949539,0.721876133
3164,50,2,3,55,133,Wisconsin,"Waukesha County, Wisconsin",4,8712,8,31,9,3,6,10.7,0,12,398424,1.994048455,0.021382629,0.009414593,76545,95.7,3.5,29.2,41.2,1768,933,26.8,23.8,-0.111940299,141.5,3.6,43.29468326,82.04180064,8.785925073,31,93,8.7,430,70,-0.475449346,-0.003321404,-1.210233486,-0.261148108,-0.531172819,1.620115164,1.631886279,1.656887719,0.806172583,1.136156699,0.876140233,2.121847004,1.388545318,-0.328589412,0.777457502,1.420474726,0.170047954,1.25532399,-0.618067951,-0.628395541,1.247169691,1.068929925,1.628911249,1.170587959,0.719507455
2627,50,3,7,48,121,Texas,"Denton County, Texas",4,11662,16,34,9,9,8,10.9,0,14,806180,22.27605767,0.209144249,0.012593962,75050,85.7,5.8,38.1,41.3,1767,991,30.3,29,-0.04290429,136.3,3.4,42.47311828,75.73158426,6.435376133,9,96,7.1,445,171,0.669283097,1.705919169,0.237746468,2.281871342,2.733342414,1.390354092,1.101456105,-0.535775838,0.933262551,1.146263561,0.730835115,1.448522068,0.14552399,-0.402161072,1.035480904,-0.241964633,0.205845802,0.792466923,-0.743303766,-0.628395541,1.054475364,-1.16454083,1.176954498,0.741311119,0.714920367
231,50,4,9,6,81,California,"San Mateo County, California",3.8,7226,10,25,9,5,10,8.1,0,24,764797,4.622516754,0.062313959,0.012024106,93623,91.2,4.8,30.4,45.6,3090,1728,24.7,24.1,-0.024291498,156.8,3,30.2987055,54.17997685,12.95662258,350,100,8.7,450,228,0.977914305,0.227137999,-0.021783037,0.06841717,0.180479277,2.296142932,1.33207792,0.670189118,1.187442488,1.580858641,-1.422377983,-0.851119306,3.594100739,0.738199658,1.379512108,1.420474726,0.217778418,0.531250559,1.009997654,-0.628395541,1.632558347,0.324439673,0.724997748,-1.405073083,0.712765916
1822,50,1,2,34,35,New Jersey,"Somerset County, New Jersey",4,9332,7,26,9,4,8,9.8,1,19,333751,1.565286197,0.029593593,0.009689859,100667,92,3.6,35,52.5,2659,1411,31.6,29,-0.082278481,136.9,4.1,37.85896954,71.34443657,10.7875338,69,94,9.1,318,66,0.016393185,1.110565711,-1.084869098,-0.314907612,-0.388412988,1.416864985,1.608824097,0.845602203,0.488447661,2.278232142,-0.085240837,0.980396135,2.447039484,-0.20151109,0.863465303,1.836084566,-0.097242649,1.273654963,-0.05450678,1.588552704,1.568326904,0.696684799,1.176954498,-0.331880982,0.69778107
2328,50,1,2,42,91,Pennsylvania,"Montgomery County, Pennsylvania",4,9589,10,34,10,4,9,10,0,15,821725,2.331818284,0.025730485,0.010699443,80675,94.2,4.3,30,46.9,2011,1158,24.5,23.5,-0.040816327,149.5,4.2,40.11685728,69.66753022,8.412864931,87,95,8.5,901,163,0.703905014,0.150318198,-0.625074279,-0.218797508,-0.455578871,1.973593736,1.447388827,1.327988185,0.424902677,1.712247852,0.314097804,0.801463624,1.191263013,-0.141316095,0.949473104,1.212669806,1.294100398,0.829128869,-0.179742596,-0.628395541,1.054475364,0.696684799,0.950976123,0.526672699,0.693080032
1356,50,2,4,27,37,Minnesota,"Dakota County, Minnesota",4,8326,8,40,8,3,8,11.2,0,13,417486,0.27420534,0.045709691,0.012517785,75567,93.9,5.1,33.2,40.3,1650,971,27,24.1,-0.107407407,122.2,3.4,45.79818182,77.82389289,9.076212221,6,97,8.8,344,125,-0.400286418,0.764876606,0.203053179,-0.476787221,-0.108210637,0.76734811,1.262891375,1.262208279,0.933262551,1.045194938,1.31891854,1.671779638,1.542055467,-0.412193571,1.121488705,1.524377186,-0.035193045,1.003273112,-0.93115749,-0.628395541,0.669086708,1.068929925,1.176954498,0.955949539,0.692513912
1600,50,2,4,29,183,Missouri,"St. Charles County, Missouri",4,10160,11,35,11,5,8,11.7,0,10,390918,7.205549367,0.080361486,0.011608573,72415,93.1,4.6,33.5,35.5,1487,931,28.2,25.9,-0.081560284,147.4,3.5,48.69872226,77.78195489,7.127558844,5,89,8.1,252,130,0.028302092,0.822491457,-0.211029222,0.392285585,0.494262396,1.88080561,1.378202283,1.086795194,0.869717567,0.560065546,1.83191919,1.667304688,0.51156524,-0.415537737,0.433426298,0.797059967,-0.254753182,0.980359396,-1.244247029,-0.628395541,0.990243921,0.324439673,1.176954498,1.5998648,0.682630358
2161,50,2,3,39,165,Ohio,"Warren County, Ohio",4,10233,11,30,10,4,13,12.1,1,11,227063,6.30984023,0.063372531,0.010384783,74379,94.3,3.9,35.1,39.6,1580,923,30.6,28.4,-0.071895425,159.3,4.1,47.07531646,80.58396533,7.268429302,44,86,8.2,193,72,0.188561612,1.129770661,-0.768379876,0.279978874,0.198884126,2.406604986,1.539637553,1.349914821,0.488447661,0.974446901,1.544797446,1.966290236,0.586060598,-0.285115249,0.175402895,0.900962427,-0.395558053,1.246158503,-1.494718661,1.588552704,1.311401134,0.696684799,0.047062622,1.385226379,0.672718365
1814,50,1,2,34,19,New Jersey,"Hunterdon County, New Jersey",4,8753,6,18,9,3,15,10.1,0,17,124676,-3.67575981,-0.021051061,0.007387147,105444,95.5,2.9,31.3,48.7,2629,1328,29.7,25.6,-0.138047138,142.1,3.8,40.10802587,79.40060241,12.04607586,386,91,9.4,131,40,-0.908344381,0.399982551,-2.133593174,-0.972045758,-1.268945679,1.646626057,1.770259368,1.613034448,0.679082614,1.894171374,0.312535847,1.840020752,3.112583858,0.858589647,0.6054419,2.147791946,-0.543522494,1.392806287,-0.242360503,-0.628395541,2.082178445,1.068929925,-0.404894128,0.097395858,0.654248903
118,50,3,7,5,7,Arkansas,"Benton County, Arkansas",4,9231,13,46,12,6,14,10,0,12,258291,17.15388075,0.160514185,0.014050044,56239,87,8.9,35.9,30.2,1179,796,26.3,28.3,0.076045627,143.4,2.9,47.70059372,70.65201005,6.092551225,28,83,7.6,217,244,2.64167158,1.283410263,0.900889862,1.63963736,1.887836369,1.704066325,0.38652848,-0.250729576,1.250987472,0.024401842,1.655386368,0.906511498,-0.035769267,-0.338621911,-0.082620507,0.277547667,-0.338281496,0.457926667,-0.179742596,-0.628395541,0.283698053,-0.047805453,-0.178915753,1.170587959,0.652982661
2846,50,4,8,49,49,Utah,"Utah County, Utah",3.4,9171,14,46,10,9,9,8.7,0,18,592299,3.710916008,0.138778123,0.020533548,62180,88.2,10.1,47.6,37.3,1475,900,41.5,41.5,0,103.9,3,42.1559322,69.08888889,6.780171107,15,85,7.3,110,74,1.380707952,3.530389444,3.853671949,-0.045882079,1.509922579,-0.041234123,0.109782302,0.012390051,1.187442488,0.741989068,0.674736375,0.739720316,0.32785906,-0.382096073,0.089395094,-0.034159713,-0.593639482,1.236993017,0.634290207,-0.628395541,0.283698053,-1.16454083,0.950976123,-0.117242562,0.64718127
1215,50,3,5,24,3,Maryland,"Anne Arundel County, Maryland",3.8,8894,8,51,9,3,13,10.5,1,15,568346,3.934285625,0.053839165,0.012281251,89860,93.6,3.8,30.6,38.3,2051,1497,23.4,22.8,-0.025641026,119.8,3.7,43.81277426,60.02672011,10.10295207,850,93,8.9,470,460,0.955536875,0.2655479,0.095328505,-0.017875323,0.033132369,0.661304538,1.562699734,1.196428372,0.742627598,0.843057691,0.967771784,-0.227248777,2.085017797,2.410282839,0.777457502,1.628279646,0.265508883,-0.531945871,-0.492832135,1.588552704,-0.03745916,1.068929925,0.047062622,0.526672699,0.644577653
1906,50,1,2,36,91,New York,"Saratoga County, New York",3.8,7967,9,30,10,2,7,8.7,0,12,227053,3.203651904,0.031618309,0.009913985,71496,95.1,4.4,27.3,39,1691,993,23.2,20.5,-0.11637931,123.4,3.8,42.28030751,72,8.974502201,118,87,8.7,176,80,-0.549055569,-0.368215459,-0.982795399,-0.109484381,-0.353210287,0.820369896,1.424326646,1.525327906,0.679082614,0.913805727,0.696733867,1.050347334,1.488268999,-0.037646938,0.261410696,1.420474726,-0.436128948,1.209496557,0.634290207,-0.628395541,1.311401134,1.441175051,1.402932873,1.170587959,0.635369357
384,50,3,5,12,109,Florida,"St. Johns County, Florida",4,10150,13,38,11,7,10,7.6,0,18,235087,31.88576995,0.229110244,0.009353984,66194,89.3,6.5,29.5,42.1,1756,1119,23,22.7,-0.013043478,145.5,3.7,37.69589977,59.15460232,6.52189763,118,94,7.7,141,271,1.164425281,0.054293447,-1.237836642,3.486766033,3.080480955,1.79685445,0.940020835,0.253583042,0.742627598,1.22711846,-0.114081979,-0.320307179,0.191278437,-0.037646938,0.863465303,0.381450127,-0.519657262,0.3341926,1.323087193,-0.628395541,0.797549593,-0.420050579,0.724997748,-0.117242562,0.634581216
881,50,2,4,19,153,Iowa,"Polk County, Iowa",3.6,7712,13,53,10,3,10,9.3,0,14,474045,7.462082286,0.096610546,0.014736998,60061,93,9.2,32,35.8,1342,799,22.7,22.2,-0.022026432,110.2,3.5,44.75484352,75.17021277,7.787841263,48,92,7.7,579,326,1.015472886,0.534417203,1.213749308,0.424450456,0.77677649,0.237130252,0.317341935,1.064868558,0.869717567,0.590386133,1.134389748,1.38862152,0.860736923,-0.271738583,0.691449701,0.381450127,0.525639916,0.082141722,0.258582759,-0.628395541,-0.165922046,1.068929925,0.724997748,0.741311119,0.628908755
743,50,2,3,18,63,Indiana,"Hendricks County, Indiana",4,9537,11,37,10,6,13,11.5,0,9,160610,10.90399702,0.10109417,0.011113878,70163,91.8,3.3,36.5,33.4,1333,958,30.6,28.2,-0.078431373,145.5,3.5,52.63540885,73.23903967,7.357172517,21,77,8.2,135,169,0.080184667,1.398639965,-0.436328156,0.8560081,0.854730966,1.79685445,1.678010642,0.801748932,0.869717567,0.347821437,2.528176602,1.182557746,0.632989937,-0.362031075,-0.598667313,0.900962427,-0.533976401,0.80163241,-1.119011214,-0.628395541,0.861781036,-0.047805453,0.047062622,1.81450322,0.624154918
2908,50,3,5,51,85,Virginia,"Hanover County, Virginia",4,9431,8,38,9,5,6,9.3,1,11,104392,6.192879814,0.04455718,0.0092919,78645,94.1,4,31.4,35.7,1667,1044,29.7,25.4,-0.144781145,123.6,3.5,47.17756449,75.33045977,8.338555202,319,78,9.1,140,121,-1.020005475,0.419187502,-1.266111557,0.265314024,-0.128248756,0.82920686,1.516575371,1.30606155,0.869717567,0.580279271,1.562881423,1.405720506,1.151966415,0.634530501,-0.512659512,1.836084566,-0.522043785,1.021604085,0.258582759,1.588552704,0.797549593,0.324439673,1.628911249,1.385226379,0.623685661
3109,50,2,3,55,25,Wisconsin,"Dane County, Wisconsin",4,7353,12,38,10,4,5,9.5,1,17,531273,7.53017602,0.08602588,0.011756667,62865,94,6.5,26.6,47.9,1717,923,20.5,18.8,-0.082926829,117.6,2.9,36.61327897,68.10942579,8.549920437,40,95,8,651,231,0.005642491,-0.502650111,-0.143582775,0.432988253,0.592746317,0.564097931,0.940020835,1.284134914,1.250987472,1.813316475,-0.305558424,0.635207746,1.263740941,-0.298491914,0.949473104,0.693157507,0.697469589,0.517502329,0.133346944,1.588552704,0.797549593,0.696684799,1.854889624,0.097395858,0.607394326
2297,50,1,2,42,29,Pennsylvania,"Chester County, Pennsylvania",4,9709,9,33,10,6,7,11.4,0,15,516312,2.058493873,0.03270042,0.010722199,85976,92.7,4.4,31.9,49.1,2191,1197,28.3,26,-0.081272085,162.6,3.9,39.24052944,71.82623225,8.855243304,19,87,8.5,503,144,0.033080913,0.515212253,-0.614710514,-0.253067747,-0.334396176,2.552414897,1.424326646,0.999088652,0.61553763,1.934598823,0.159107119,1.031805631,1.425202304,-0.368719408,0.261410696,1.212669806,0.34426415,0.91620099,-1.056393306,-0.628395541,1.118706806,-0.047805453,1.402932873,0.526672699,0.599919143
2033,50,2,4,38,17,North Dakota,"Cass County, North Dakota",3.6,8422,10,49,9,6,6,9,1,14,175249,16.02998086,0.166242979,0.015098517,53289,91.6,6.5,27.3,36.8,1400,712,19.6,19.2,-0.020408163,90.7,2.3,38.06357143,74.84410112,6.327710048,2,81,8.6,186,307,1.042306492,-0.368215459,1.378395898,1.498719404,1.98743998,-0.624473766,0.940020835,0.75789566,1.632257378,0.691454756,-0.049054166,1.353824123,0.088587826,-0.425570236,-0.254636109,1.316572266,-0.412263716,0.169213843,0.446436483,1.588552704,0.091003725,-0.047805453,1.628911249,0.741311119,0.59053618
861,50,2,4,19,113,Iowa,"Linn County, Iowa",3.6,8419,12,46,10,2,8,9.5,0,10,221661,2.88045457,0.047141467,0.012699573,59322,93.8,6.3,28.9,31.5,1270,695,21.4,20.3,-0.051401869,106,3.7,46.71023622,85.35539568,7.045953939,1,87,7.9,260,214,0.528379031,-0.060936255,0.285844884,-0.150007837,-0.08331708,0.051554002,0.986145198,1.240281643,0.742627598,0.155791053,1.480227962,2.475420642,0.468410794,-0.428914402,0.261410696,0.589255047,-0.235660997,0.595408964,0.133346944,-0.628395541,0.283698053,1.441175051,1.176954498,1.5998648,0.588563491
256,50,4,8,8,13,Colorado,"Boulder County, Colorado",4,8344,13,30,9,5,5,8,0,20,322226,10.01422403,0.088663876,0.009034032,70961,91.3,6.4,27,58.9,1824,1187,21.6,20.4,-0.055555556,113.2,2.7,38.90405702,59.78180286,8.504485286,65,98,7.9,300,210,0.459503957,-0.42583031,-1.383552374,0.74444568,0.638611804,0.369684717,0.963083016,0.692115754,1.378077441,2.925071332,0.099597323,-0.253382412,1.239713847,-0.214887755,1.207496506,0.589255047,-0.140200067,0.613739937,1.072615562,-0.628395541,1.311401134,0.324439673,1.854889624,-0.546519402,0.587798697
1300,50,2,3,26,93,Michigan,"Livingston County, Michigan",3.8,9852,9,35,9,3,10,10.2,0,12,188624,4.611373898,0.04196036,0.009532191,75204,93.3,4.1,31.4,33.6,1559,917,29.2,24.5,-0.160958904,150.7,4.2,48.2386145,82.01090513,7.633443667,8,87,8.6,142,101,-1.288259765,0.419187502,-1.156675832,0.067020045,-0.173398337,2.026615521,1.49351319,1.130648465,0.424902677,0.368035162,1.750542776,2.118550331,0.779088121,-0.405505238,0.261410696,1.316572266,-0.517270738,1.113258949,-0.304978411,-0.628395541,0.990243921,1.068929925,0.724997748,1.170587959,0.58165291
1246,50,1,1,25,15,Massachusetts,"Hampshire County, Massachusetts",3.6,7992,11,29,12,2,3,8.5,0,17,161816,3.443318914,0.015947161,0.006525931,61368,96.8,6.2,23.5,44.2,1694,965,18.4,16.2,-0.119565217,86.1,3.3,36.22668241,63.59378238,7.678227131,2003,86,8.1,149,249,-0.601883233,-1.098003569,-2.525816758,-0.079434209,-0.62567652,-0.827723945,1.009207379,1.89808071,0.996807535,1.439362569,-0.373933367,0.153370813,0.80277059,6.266106655,0.175402895,0.797059967,-0.500565076,0.435012951,0.759526022,-0.628395541,1.375632577,1.441175051,2.306846374,0.097395858,0.579161794
433,50,3,5,13,73,Georgia,"Columbia County, Georgia",3.8,8760,11,50,10,6,16,10.9,0,11,147450,20.94395104,0.17973213,0.011597152,71021,90,7,36.2,35.3,1375,1094,29.9,27.6,-0.076923077,146.9,4.7,51.65163636,64.91864717,8.107234995,9,71,8.4,100,53,0.105194737,1.341025114,-0.216230688,2.114847797,2.221968948,1.8587132,0.824709928,0.407069491,0.107177756,0.539851821,2.354182845,0.294739103,1.029639265,-0.402161072,-1.114714118,1.108767346,-0.617504714,1.333230625,-0.743303766,-0.628395541,0.026772282,-0.047805453,-0.630872504,1.385226379,0.577414101
211,50,4,9,6,41,California,"Marin County, California",4,7585,12,28,10,5,11,7.6,0,24,260651,3.586303711,0.030461047,0.008854752,93257,92.5,4.9,28.7,55.8,3273,1678,21.3,21.8,0.023474178,154.9,3.2,28.49282004,55.57628129,12.29492419,6,96,8.3,217,185,1.769949067,-0.099346155,-1.465201861,-0.061506344,-0.373331009,2.212191771,1.309015738,0.955235381,1.060352519,2.611758599,-1.741773776,-0.702128124,3.244180259,-0.412193571,1.035480904,1.004864887,-0.338281496,0.728308518,1.323087193,-0.628395541,1.439864019,0.324439673,0.499019372,-1.405073083,0.561691847
1250,50,1,1,25,23,Massachusetts,"Plymouth County, Massachusetts",3.4,9742,10,25,12,1,11,8.7,0,17,513565,4.09422592,0.03544462,0.010156455,75459,96.7,5.9,30.8,34.4,2114,1132,25,22.3,-0.108,105.8,3.9,35.6948912,66.65989399,7.746034288,1157,86,8.3,412,404,-0.410112601,0.3039578,-0.872367292,0.002178473,-0.286684175,0.042717038,1.078393924,1.876154075,0.61553763,0.44889006,-0.46798799,0.480536995,0.838628487,3.436941912,0.175402895,1.004864887,0.127090535,-0.27531225,0.634290207,-0.628395541,1.632558347,1.813420176,0.499019372,0.097395858,0.556326712
2868,50,3,5,51,3,Virginia,"Albemarle County, Virginia",4,7685,10,31,10,6,7,8.6,0,14,106878,8.766231941,0.076964933,0.009861711,68449,91.9,6.8,27.5,51.7,1708,1117,21.3,22,0.03286385,107.6,3.5,40.07552693,61.27931961,8.906761951,10,74,8.6,111,113,1.925645527,-0.329805558,-1.006602545,0.58796867,0.435208267,0.122249717,0.87083429,0.823675567,0.869717567,2.197377244,0.306787961,-0.093591478,1.452446484,-0.398816905,-0.856690716,1.316572266,-0.591252959,1.058266031,0.696908114,-0.628395541,1.247169691,-0.047805453,1.402932873,0.741311119,0.553500251
856,50,2,4,19,103,Iowa,"Johnson County, Iowa",3.8,7036,14,33,10,4,4,9.7,0,19,146547,10.0502142,0.116182889,0.012282749,55700,92.6,6.8,26,51.3,1443,870,19.2,18.7,-0.026041667,105.2,2.6,38.6001386,64.02298851,7.915946012,9,90,7.6,132,267,0.948893577,-0.617879812,0.096010739,0.748958236,1.117070805,0.016206145,0.87083429,0.977162016,1.441622425,2.156949794,0.045845151,0.199168797,0.928481497,-0.402161072,0.519434099,0.277547667,-0.541135971,0.352523573,0.008111128,-0.628395541,1.118706806,0.696684799,2.080867999,-0.331880982,0.552522683
59,50,3,6,1,117,Alabama,"Shelby County, Alabama",4,9866,11,48,11,4,8,11.4,0,11,210622,6.618589309,0.074311538,0.011318856,70187,91.1,5.6,32.3,40.8,1435,944,28.5,25.9,-0.09122807,158.1,4.4,48.91080139,74.35063559,7.114229879,6,73,8.4,222,180,-0.132005962,0.592032054,-0.34297503,0.318690764,0.389075045,2.3535832,1.147580468,0.648262483,0.297812709,1.095729249,1.869428314,1.301169407,0.504516594,-0.412193571,-0.942698516,1.108767346,-0.326348879,0.751222234,-1.056393306,-0.628395541,0.155235167,0.696684799,1.176954498,1.385226379,0.546928498
630,50,2,3,17,43,Illinois,"DuPage County, Illinois",4,9720,8,32,9,4,8,12.2,1,16,929368,-2.663679195,0.012224662,0.011386232,79658,91.7,5.2,32,46.7,2046,1143,28.2,25.9,-0.081560284,137,4.8,38.93352884,69.6920385,8.195452984,5,99,8.9,837,86,0.028302092,0.534417203,-0.312289979,-0.84514804,-0.690397706,1.421283467,1.239829194,0.779822296,0.043632772,1.692034127,0.104809821,0.804078754,1.076290854,-0.415537737,1.293504307,1.628279646,1.141362911,1.182000098,-1.557336569,1.588552704,1.182938249,0.696684799,1.176954498,0.312034279,0.544241275
2176,50,3,7,40,17,Oklahoma,"Canadian County, Oklahoma",3.6,9787,12,55,11,8,11,9.8,0,10,136532,19.78009466,0.173640959,0.013220344,64505,89.6,5.2,35.7,25.5,1327,886,27,26.2,-0.02962963,130.2,4,48.60964582,72.80474041,6.590912806,30,81,7.8,94,444,0.889399152,1.245000363,0.523019609,1.968919976,2.116064874,1.120826681,1.239829194,0.319362949,0.551992646,-0.450620687,1.816164791,1.136216305,0.22777516,-0.331933578,-0.254636109,0.485352587,-0.631823854,-0.45862198,-0.05450678,-0.628395541,-0.294384931,-0.792295705,0.499019372,1.5998648,0.542173254
