,SUMLEV,REGION,DIVISION,STATE,COUNTY,STNAME,CTY,HEALTHCARE_COST,PERCENT_FOOD_INSECURE,CHILD_MORTALITY_RATE,MENTAL_DISTRESS,CHILDREN_UNINSURED,DISCONNECTED_YOUTH,DAILY_POLLUTION,WATER_VIOLATION,HOUSING_PROBLEMS,POPESTIMATE2016,AVG_NETMIG,POP_CHANGE,BIRTHS_PER_CAPITA,MEDIAN_HOUSEHOLD_INCOME,PERCENT_W_HEALTH_INSURANCE,PERCENTAGE_IN_POVERTY,PERCENT_WITH_KIDS,BACHELORS_DEGREE,MEDIAN_MORTAGE_PAYMENTS,MEDIAN_RENT_PAYMENT,2010_FAM_KIDS,2015_FAM_KIDS,CHANGE_IN_FAM_WITH_KIDS,INCOME_AS_PERCENT_OF_STATE,UNEMPLOYMENT,MORTGAGE_INCOME_RATIO,RENT_INCOME_RATIO,HEALTHCARE_INCOME_RATIO,DOCTORS,EXERCISE_ACCESS,FOOD_ENVIRONMENT_INDEX,CIVIC_ASSOCIATIONS,CRIME_RATE,zFAMKIDSCHANGE,zPERCENT_WITH_KIDS,zBIRTHS_PER_CAPITA,zAVG_NETMIG,zPOP_CHANGE,zINCOME_AS_PERCENT_OF_STATE,zPERCENTAGE_IN_POVERTY,zPERCENT_W_HEALTH_INSURANCE,zUNEMPLOYMENT,zBACHELORS_DEGREE,zMORTGAGE_INCOME_RATIO,zRENT_INCOME_RATIO,zHEALTHCARE_INCOME_RATIO,zDOCTORS,zEXERCISE_ACCESS,zFOOD_ENVIRONMENT_INDEX,zCIVIC_ASSOCIATIONS,zCRIME_RATE,zDAILY_POLLUTION,zWATER_VIOLATION,zCHILD_MORTALITY_RATE,zCHILDREN_UNINSURED,zDISCONNECTED_YOUTH,zHOUSING_PROBLEMS,zSCORE_TOTAL
950.0,50.0,2.0,4.0,20.0,91.0,Kansas,"Johnson County, Kansas",9732.0,12.0,36.0,8.0,4.0,7.0,10.2,1.0,12.0,584451.0,4.642621355,0.070783927,0.01255195,76113.0,92.8,4.0,33.7,52.8,1655.0,947.0,27.0,26.1,-0.033333333,154.3,3.3,45.9897281,80.37275607,7.821165329,4.0,99.0,8.2,505.0,142.0,0.827985564876,0.86090135765,0.218612944212,0.0709379458048,0.327742277256,2.18568087852,1.51657537147,1.02101528731,0.996807535222,2.30855272928,1.35279614634,1.94375337587,0.878359413066,-0.418881903388,1.2935043072,0.900962426611,0.349037196266,0.92536647682,-0.304978411359,1.58855270414,0.926012478489,0.696684798904,1.40293287335,1.17058795921,0.95997923888
1228.0,50.0,3.0,5.0,24.0,31.0,Maryland,"Montgomery County, Maryland",8492.0,7.0,38.0,9.0,3.0,8.0,10.9,1.0,17.0,1043863.0,4.199068686,0.069180116,0.01254954,99435.0,89.7,4.6,33.6,57.9,2440.0,1627.0,26.1,25.5,-0.022988506,129.7,3.3,40.75204918,61.11555009,11.70909031,474.0,100.0,9.4,907.0,177.0,0.999520090902,0.84169640739,0.217515357964,0.0153239752138,0.299857635868,1.09873427075,1.37820228269,0.341289584527,0.996807535222,2.8240027082,0.426440267285,-0.111066330843,2.93437858047,1.15287628692,1.37951210811,2.1477919459,1.30841953707,0.764970463641,-0.743303766407,1.58855270414,0.797549593311,1.06892992476,1.17695449813,0.0973958584587,0.95843131332
1890.0,50.0,1.0,2.0,36.0,59.0,New York,"Nassau County, New York",10155.0,6.0,28.0,10.0,3.0,9.0,9.6,0.0,23.0,1361500.0,0.417858551,0.014622034,0.010520749,99465.0,92.5,4.4,33.2,42.8,3069.0,1578.0,29.0,27.1,-0.065517241,167.0,3.9,32.40957967,63.03231939,9.794537747,2263.0,99.0,9.6,1043.0,163.0,0.294322565539,0.764876606348,-0.706456883241,-0.458775548797,-0.648715825348,2.74682811099,1.42432664562,0.955235380586,0.615537629817,1.29786649609,-1.04904072239,0.0934605010844,1.92192160515,7.13558990918,1.2935043072,2.35559686578,1.63298669715,0.829128868913,0.0707290358258,-0.628395541439,1.4398640192,1.06892992476,0.950976122911,-1.19043466244,0.925410921187
2939.0,50.0,3.0,5.0,51.0,153.0,Virginia,"Prince William County, Virginia",8387.0,7.0,39.0,9.0,7.0,11.0,9.7,1.0,15.0,455210.0,7.43929624,0.12014469,0.014922783,98657.0,87.2,4.9,42.3,38.8,2215.0,1547.0,32.7,32.8,0.003058104,149.7,3.6,44.54040632,63.77310924,11.76241255,16.0,91.0,9.2,271.0,163.0,1.43141642913,2.51252708005,1.29836136607,0.421593472594,1.18595261183,1.98243069983,1.3090157383,-0.206876304812,0.806172582519,0.893592002814,1.0964635662,0.17250569507,2.96257653903,-0.37875190704,0.60544189991,1.93998702602,-0.20940924092,0.829128868913,0.00811112796167,1.58855270414,0.733318150722,-0.420050578662,0.499019372472,0.52667269876,0.899489650038
1392.0,50.0,2.0,4.0,27.0,109.0,Minnesota,"Olmsted County, Minnesota",6668.0,9.0,33.0,8.0,3.0,8.0,10.2,1.0,11.0,153102.0,1.292965885,0.059331474,0.014265,68023.0,94.2,5.3,31.5,41.3,1415.0,827.0,25.2,23.0,-0.087301587,110.4,3.0,48.07279152,82.25272068,10.20202172,29.0,96.0,8.7,185.0,163.0,-0.066898309966,0.438392451921,0.998787268624,-0.34905195352,0.128624335727,0.24596721669,1.21676701244,1.32798818534,1.18744248792,1.14626356111,1.72121469109,2.14435300245,2.13740797976,-0.335277744329,1.03548090447,1.42047472632,-0.414650239202,0.829128868913,-0.304978411359,1.58855270414,1.11870680626,1.06892992476,1.17695449813,1.38522637936,0.86857526446
1758.0,50.0,2.0,4.0,31.0,153.0,Nebraska,"Sarpy County, Nebraska",8822.0,11.0,39.0,8.0,4.0,6.0,10.7,0.0,10.0,179023.0,8.696127312,0.120567598,0.014528859,70543.0,93.4,4.8,37.9,36.7,1474.0,868.0,30.2,28.4,-0.059602649,134.1,3.0,47.85820896,81.27073733,7.99618684,9.0,95.0,8.1,123.0,64.0,0.392396388848,1.66750926859,1.11895656728,0.579178740729,1.19330549688,1.29314748515,1.33207791976,1.15257510075,1.18744248792,0.681347893845,1.68326280076,2.03957151227,0.970914589177,-0.402161071576,0.949473103557,0.79705996667,-0.562614679823,1.28282044905,-0.618067950679,-0.628395541439,0.733318150722,0.696684798904,1.62891124857,1.59986479951,0.865357480226
2952.0,50.0,3.0,5.0,51.0,179.0,Virginia,"Stafford County, Virginia",9747.0,8.0,42.0,9.0,5.0,12.0,9.0,1.0,12.0,144361.0,9.757665231,0.111794832,0.012025409,97144.0,91.6,3.6,42.0,36.8,2101.0,1445.0,34.2,32.1,-0.061403509,144.4,3.9,46.23702999,67.22768166,9.966073248,1.0,81.0,9.0,87.0,152.0,0.36253511939,2.45491222926,-0.021189612018,0.71227756469,1.04077790236,1.74825114613,1.60882409733,0.757895660424,0.615537629817,0.691454756177,1.39653490223,0.541122175272,2.01263330347,-0.428914402475,-0.254636109206,1.73218210614,-0.648529516313,0.879539044483,0.44643648301,1.58855270414,0.540623822956,0.324439673048,0.273040997253,1.17058795921,0.814370401532
2609.0,50.0,3.0,7.0,48.0,85.0,Texas,"Collin County, Texas",11176.0,16.0,31.0,9.0,8.0,9.0,10.8,0.0,14.0,939585.0,20.54700675,0.191246556,0.01175519,84735.0,87.1,5.7,40.3,49.8,1884.0,1119.0,33.2,32.1,-0.03313253,156.0,3.5,44.97611465,75.72386059,7.581770109,1.0,95.0,7.4,553.0,154.0,0.831315214316,2.12842807484,-0.144255445338,2.06507772546,2.42216438208,2.260795075,1.12451828659,-0.228802940386,0.869717566754,2.00534685932,1.17352460396,1.44769792231,0.751762021575,-0.428914402475,0.949473103557,0.0697427470836,0.463590311586,0.870373558016,-0.680685858543,-0.628395541439,1.24716969143,-0.792295704517,0.950976122911,0.74131111891,0.811234770541
1247.0,50.0,1.0,1.0,25.0,17.0,Massachusetts,"Middlesex County, Massachusetts",9121.0,9.0,29.0,10.0,1.0,7.0,9.6,0.0,17.0,1589774.0,5.084997125,0.054777261,0.011065724,85118.0,96.7,5.6,29.4,52.0,2377.0,1341.0,23.6,23.3,-0.012711864,127.4,3.0,35.80900294,63.47352722,9.332193095,6.0,97.0,8.8,1478.0,207.0,1.16992399564,0.0350884964518,-0.45825893079,0.126404353252,0.0494425641149,0.997109181409,1.14758046805,1.87615407468,1.18744248792,2.22769783062,-0.447805751769,0.140539113879,1.67742371203,-0.412193570663,1.12148870538,1.52437718626,2.67112430473,0.627488166631,0.0707290358258,-0.628395541439,1.37563257661,1.81342017647,1.40293287335,0.0973958584587,0.808030890296
1419.0,50.0,2.0,4.0,27.0,163.0,Minnesota,"Washington County, Minnesota",7802.0,7.0,31.0,8.0,3.0,8.0,10.9,0.0,12.0,253117.0,3.703733066,0.059102397,0.01112529,83706.0,95.4,4.0,35.5,41.6,1730.0,1144.0,28.8,26.6,-0.076388889,139.2,3.4,48.3849711,73.16958042,10.72871873,4.0,95.0,8.9,200.0,77.0,0.1140524666,1.20659046234,-0.4311307887,-0.0467826978573,0.124641491118,1.51849007457,1.51657537147,1.59110781222,0.933262550988,1.17658414811,1.77642796279,1.17514617024,2.41593679739,-0.418881903388,0.949473103557,1.6282796462,-0.378852390664,1.22324478701,-0.743303766407,-0.628395541439,1.24716969143,1.06892992476,1.17695449813,1.17058795921,0.806921159569
