,SUMLEV,REGION,DIVISION,STATE,COUNTY,STNAME,CTY,SCHOOL_GRADE,HEALTHCARE_COST,PERCENT_FOOD_INSECURE,CHILD_MORTALITY_RATE,MENTAL_DISTRESS,CHILDREN_UNINSURED,DISCONNECTED_YOUTH,DAILY_POLLUTION,WATER_VIOLATION,HOUSING_PROBLEMS,POPESTIMATE2016,AVG_NETMIG,POP_CHANGE,BIRTHS_PER_CAPITA,MEDIAN_HOUSEHOLD_INCOME,PERCENT_W_HEALTH_INSURANCE,PERCENTAGE_IN_POVERTY,PERCENT_WITH_KIDS,BACHELORS_DEGREE,MEDIAN_MORTAGE_PAYMENTS,MEDIAN_RENT_PAYMENT,2010_FAM_KIDS,2015_FAM_KIDS,CHANGE_IN_FAM_WITH_KIDS,INCOME_AS_PERCENT_OF_STATE,UNEMPLOYMENT,MORTGAGE_INCOME_RATIO,RENT_INCOME_RATIO,HEALTHCARE_INCOME_RATIO,DOCTORS,EXERCISE_ACCESS,FOOD_ENVIRONMENT_INDEX,CIVIC_ASSOCIATIONS,CRIME_RATE
655,50,2,3,17,93,Illinois,"Kendall County, Illinois",3.8,9948,7,38,9,3,10,11.5,0,13,124695,3.368490742,0.08070513,0.012871406,84385,94.9,4,42.2,34.8,1965,1305,36.9,35.1,-0.048780488,149,5.2,42.94402036,64.66283525,8.48275453,35,93,9.2,63,104
3164,50,2,3,55,133,Wisconsin,"Waukesha County, Wisconsin",4,8712,8,31,9,3,6,10.7,0,12,398424,1.994048455,0.021382629,0.009414593,76545,95.7,3.5,29.2,41.2,1768,933,26.8,23.8,-0.111940299,141.5,3.6,43.29468326,82.04180064,8.785925073,31,93,8.7,430,70
2627,50,3,7,48,121,Texas,"Denton County, Texas",4,11662,16,34,9,9,8,10.9,0,14,806180,22.27605767,0.209144249,0.012593962,75050,85.7,5.8,38.1,41.3,1767,991,30.3,29,-0.04290429,136.3,3.4,42.47311828,75.73158426,6.435376133,9,96,7.1,445,171
231,50,4,9,6,81,California,"San Mateo County, California",3.8,7226,10,25,9,5,10,8.1,0,24,764797,4.622516754,0.062313959,0.012024106,93623,91.2,4.8,30.4,45.6,3090,1728,24.7,24.1,-0.024291498,156.8,3,30.2987055,54.17997685,12.95662258,350,100,8.7,450,228
1822,50,1,2,34,35,New Jersey,"Somerset County, New Jersey",4,9332,7,26,9,4,8,9.8,1,19,333751,1.565286197,0.029593593,0.009689859,100667,92,3.6,35,52.5,2659,1411,31.6,29,-0.082278481,136.9,4.1,37.85896954,71.34443657,10.7875338,69,94,9.1,318,66
2328,50,1,2,42,91,Pennsylvania,"Montgomery County, Pennsylvania",4,9589,10,34,10,4,9,10,0,15,821725,2.331818284,0.025730485,0.010699443,80675,94.2,4.3,30,46.9,2011,1158,24.5,23.5,-0.040816327,149.5,4.2,40.11685728,69.66753022,8.412864931,87,95,8.5,901,163
1356,50,2,4,27,37,Minnesota,"Dakota County, Minnesota",4,8326,8,40,8,3,8,11.2,0,13,417486,0.27420534,0.045709691,0.012517785,75567,93.9,5.1,33.2,40.3,1650,971,27,24.1,-0.107407407,122.2,3.4,45.79818182,77.82389289,9.076212221,6,97,8.8,344,125
1600,50,2,4,29,183,Missouri,"St. Charles County, Missouri",4,10160,11,35,11,5,8,11.7,0,10,390918,7.205549367,0.080361486,0.011608573,72415,93.1,4.6,33.5,35.5,1487,931,28.2,25.9,-0.081560284,147.4,3.5,48.69872226,77.78195489,7.127558844,5,89,8.1,252,130
2161,50,2,3,39,165,Ohio,"Warren County, Ohio",4,10233,11,30,10,4,13,12.1,1,11,227063,6.30984023,0.063372531,0.010384783,74379,94.3,3.9,35.1,39.6,1580,923,30.6,28.4,-0.071895425,159.3,4.1,47.07531646,80.58396533,7.268429302,44,86,8.2,193,72
1814,50,1,2,34,19,New Jersey,"Hunterdon County, New Jersey",4,8753,6,18,9,3,15,10.1,0,17,124676,-3.67575981,-0.021051061,0.007387147,105444,95.5,2.9,31.3,48.7,2629,1328,29.7,25.6,-0.138047138,142.1,3.8,40.10802587,79.40060241,12.04607586,386,91,9.4,131,40
118,50,3,7,5,7,Arkansas,"Benton County, Arkansas",4,9231,13,46,12,6,14,10,0,12,258291,17.15388075,0.160514185,0.014050044,56239,87,8.9,35.9,30.2,1179,796,26.3,28.3,0.076045627,143.4,2.9,47.70059372,70.65201005,6.092551225,28,83,7.6,217,244
2846,50,4,8,49,49,Utah,"Utah County, Utah",3.4,9171,14,46,10,9,9,8.7,0,18,592299,3.710916008,0.138778123,0.020533548,62180,88.2,10.1,47.6,37.3,1475,900,41.5,41.5,0,103.9,3,42.1559322,69.08888889,6.780171107,15,85,7.3,110,74
1215,50,3,5,24,3,Maryland,"Anne Arundel County, Maryland",3.8,8894,8,51,9,3,13,10.5,1,15,568346,3.934285625,0.053839165,0.012281251,89860,93.6,3.8,30.6,38.3,2051,1497,23.4,22.8,-0.025641026,119.8,3.7,43.81277426,60.02672011,10.10295207,850,93,8.9,470,460
1906,50,1,2,36,91,New York,"Saratoga County, New York",3.8,7967,9,30,10,2,7,8.7,0,12,227053,3.203651904,0.031618309,0.009913985,71496,95.1,4.4,27.3,39,1691,993,23.2,20.5,-0.11637931,123.4,3.8,42.28030751,72,8.974502201,118,87,8.7,176,80
384,50,3,5,12,109,Florida,"St. Johns County, Florida",4,10150,13,38,11,7,10,7.6,0,18,235087,31.88576995,0.229110244,0.009353984,66194,89.3,6.5,29.5,42.1,1756,1119,23,22.7,-0.013043478,145.5,3.7,37.69589977,59.15460232,6.52189763,118,94,7.7,141,271
881,50,2,4,19,153,Iowa,"Polk County, Iowa",3.6,7712,13,53,10,3,10,9.3,0,14,474045,7.462082286,0.096610546,0.014736998,60061,93,9.2,32,35.8,1342,799,22.7,22.2,-0.022026432,110.2,3.5,44.75484352,75.17021277,7.787841263,48,92,7.7,579,326
743,50,2,3,18,63,Indiana,"Hendricks County, Indiana",4,9537,11,37,10,6,13,11.5,0,9,160610,10.90399702,0.10109417,0.011113878,70163,91.8,3.3,36.5,33.4,1333,958,30.6,28.2,-0.078431373,145.5,3.5,52.63540885,73.23903967,7.357172517,21,77,8.2,135,169
